Country ,variable_name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,y,25587.8,26233.2,25208.9,26007.9,27054,27754.8,28056.3,29223.7,29863.6,30412.5,29850.9,29599.2,30454.3,31386.2,32293.6,33167.7,34049.6,35237.2,36616.8,37631.3,37962.6,38975.0,39733.2,40935.1,41777.0,42402.6,43414.6,44150.7,44084.2,44137.8,44495.6,45594.1,45960.3,46341.2,46637.9,47226.8,47556.0
Austria,y,28794.9,28680.1,29236,30153.9,30171.2,30910.6,31601.9,32010.5,33018.8,34148.1,35361.5,36215.1,36568.6,36459.4,37191.8,38125.6,38968.7,39739.5,41117.6,42497.2,43826.2,44212.0,44720.7,44940.9,45880.7,46591.9,47952.4,49576.5,50141.2,48138.2,48907.7,50172.4,50287.3,49998.0,49935.7,49942.1,50292.9
Belgium,y,27552.5,27456,27597,27669,28348.6,28811,29330.2,29973.3,31281.2,32249.2,33167.6,33647.3,34022.9,33565.4,34545.8,35296.3,35692.3,36959.0,37602.8,38847.4,40193.0,40492.8,41000.6,41254.5,42543.3,43290.1,44104.6,45390.6,45235.9,43968.7,44813.0,44986.1,45037.1,45033.1,45539.9,46201.7,46551.6
Canada,y,28304.9,28919.7,27666.8,28107.3,29488.3,30604.4,30951.6,31790.4,32764.8,32927.8,32488.5,31417.9,31327.7,31809.8,32877.4,33415.6,33603.5,34695.3,35749.1,37290.5,38857.7,39125.8,39870.7,40224.8,41081.5,41999.2,42672.3,43135.5,43099.4,41363.4,42170.0,43073.0,43358.2,43901.7,44710.0,44670.1,44609.4
Chile,y,..,..,..,..,..,..,7121.6,7460.8,7871.1,8557.8,8729.2,9254.1,10205.4,10727.4,11144.9,12121.0,12840.6,13602.8,13982.0,13759.7,14255.7,14541.1,14841.1,15372.3,16224.4,16967.7,17837.7,18565.0,19078.6,18682.3,19617.7,20608.9,21640.0,22142.2,22316.5,22563.6,22711.8
Colombia,y,6601.6,6612.6,6537.1,6501.2,6550.9,7029.4,7284.2,7534.9,7714.1,7825.6,8005.2,8063,8248.1,8555.2,8876.4,9194.8,9194.6,9349.0,9273.7,8671.4,8769.6,8803.5,8909.2,9144.4,9518.3,9851.8,10390.9,10970.1,11209.1,11210.3,11578.6,12256.0,12611.3,13135.0,13496.9,13762.8,13898.0
Costa Rica,y,..,..,..,..,..,..,..,..,..,..,..,9391.2,10031.1,10510.8,10672.4,10801.5,10676.2,10973.9,11480.8,11681.1,11873.6,12029.4,12222.8,12567.9,12915.8,13217.3,13964.6,14904.1,15389.9,15025.6,15564.5,16097.8,16662.7,16861.5,17238.0,17649.3,18171.9
Czech Republic,y,..,..,..,..,..,..,..,..,..,..,22042.8,19584.7,19468.3,19456.2,20011.5,21323.5,22266.3,22176.0,22115.6,22448.3,23369.8,24194.7,24631.0,25511.5,26725.8,28414.5,30241.1,31752.3,32270.8,30586.6,31254.7,31867.2,31579.1,31560.3,32231.1,33909.3,34696.2
Denmark,y,29532.8,29347.5,30452.6,31267.6,32589.4,33880.9,35493.9,35535.6,35510,35725.2,36195.8,36600.5,37194.1,37069.1,38918.2,39912.5,40820.3,41967.9,42753.2,43864.7,45363.3,45574.5,45625.2,45684.2,46790.3,47742.3,49446.2,49685.6,49134.2,46469.7,47134.3,47567.1,47495.8,47751.2,48266.5,49058.1,50235.0
Estonia,y,..,..,..,..,..,..,..,..,..,..,..,..,..,11064.5,11135.5,11871.9,12658.9,14506.3,15276.0,15364.4,16647.6,17756.0,19084.4,20658.8,22208.2,24456.3,27007.5,29223.2,27816.7,23795.4,24420.9,26265.5,27205.5,27706.8,28636.6,29222.7,30085.3
Finland,y,23751.8,23961.6,24568.6,25183.5,25860.4,26666.8,27312.5,28209.1,29594.4,30987.8,31057.8,29070.5,27955,27636.2,28607.7,29700.3,30688.5,32535.7,34220.0,35635.8,37615.2,38509.2,39071.7,39759.8,41226.9,42228.3,43760.5,45884.4,46029.2,42110.5,43253.6,44150.6,43326.9,42738.9,42399.7,42490.2,43567.2
France,y,26273.1,26404.1,26903.1,27090.4,27366.8,27672.5,28175.1,28740.5,29930.6,31045.4,31778.7,31951.6,32302.1,31960,32592.4,33158.8,33508.0,34169.0,35265.2,36284.3,37450.4,37916.2,38068.8,38111.4,38902.3,39253.2,39935.9,40652.4,40529.3,39163.4,39730.9,40403.9,40332.2,40355.6,40544.3,40829.9,41122.8
Germany,y,27523.1,27628.2,27548.3,28057.8,28952.1,29694,30364.6,30779.3,31758.1,32759.9,34182.9,35655.5,36103.2,35553.6,36313.8,36801.5,37026.1,37669.4,38458.2,39195.6,40319.8,40967.6,40855.9,40584.3,41108.1,41469.5,43139.1,44522.4,45076.6,42658.5,44551.7,46305.6,46412.1,46488.0,47317.5,47609.6,48280.0
Greece,y,22455.9,21911.6,21528.3,21172.8,21491.6,21946.6,21987.3,21417.6,22255.9,22980.3,22819.5,23329.5,23322,22823,23174.4,23598.0,24166.7,25126.0,25960.4,26655.8,27587.6,28578.4,29590.9,31230.8,32730.3,32830.0,34581.7,35622.9,35409.4,33797.6,31904.7,28709.0,26819.2,26334.7,26636.9,26760.3,26740.9
Hungary,y,..,..,..,..,..,..,..,..,..,..,..,16036.7,15578.4,15533.8,16043.1,16174.9,16216.1,16759.5,17453.7,18040.7,18897.8,19712.9,20706.4,21611.8,22743.7,23767.6,24744.0,24851.1,25144.6,23522.0,23829.0,24342.7,24162.8,24666.2,25779.5,26798.9,27469.6
Iceland,y,28048.5,28910,29129.8,28137.1,28998.4,29716.9,31345.8,33643.7,33085.8,32795.8,32913.4,32431,30964.8,31050.4,31904.9,31774.8,33040.7,34689.7,36849.3,37865.9,39188.1,40203.3,40076.8,40695.0,43375.4,45518.6,47058.1,49873.1,49698.3,45918.3,44785.9,45469.5,45709.6,47332.9,47602.3,49203.3,51587.6
Ireland,y,18679.3,19065,19293,19108.6,19805,20346.9,20254.1,21192.5,22374,23816.5,25862.4,26211.9,26867.3,27444,28926.5,31578.7,33677.2,36999.2,39702.2,43408.3,46872.6,48598.9,50575.1,51250.4,53782.9,55603.0,56875.0,58120.7,54331.0,51072.6,51697.3,51914.7,51698.4,52024.6,56130.5,69165.9,69763.1
Israel,y,18333.1,18987.6,19096.2,19393.5,19229.6,19656.1,20127.4,21202.4,21454.2,21214.3,22143.6,22973.4,23862.5,23968.6,24865.9,25623.2,26461.6,26775.5,27203.8,27388.9,28975.9,28384.3,27774.4,27645.6,28448.7,29094.4,30167.4,31410.7,31847.3,31566.1,32748.0,33935.6,34179.2,35029.2,35710.5,35877.1,36769.5
Italy,y,26592.9,26781.1,26876.1,27180.4,28051,28827.5,29650.3,30593.7,31861.5,32916.4,33542,34024.2,34295,33981.8,34705.7,35707.0,36149.1,36791.3,37446.7,38049.1,39472.1,40215.7,40240.1,40078.7,40347.7,40441.0,41000.7,41358.1,40645.5,38276.5,38760.5,38899.8,37637.1,36870.5,36863.2,37206.3,37759.3
Japan,y,22569.5,23363,23961.4,24663.4,25586.7,26741.5,27483.7,28625.1,30406.2,31784.8,33214,34248.5,34427.7,34167.8,34488.9,35306.0,36332.7,36601.9,36040.3,35852.4,36772.7,36827.3,36765.2,37261.2,38045.9,38725.9,39231.9,39769.9,39263.0,37030.9,38545.7,38618.8,39235.3,40090.9,40232.0,40908.8,41274.6
Korea,y,5350.2,5649.1,6026.3,6732.4,7351.4,7850,8652.7,9658,10710.5,11355.2,12354.5,13551.1,14242.4,15068,16299.7,17688.2,18902.8,19881.9,18726.3,20725.9,22415.8,23323.9,24980.7,25634.0,26859.2,27957.2,29275.2,30816.5,31504.9,31591.8,33574.0,34544.4,35189.1,36137.8,37061.4,37902.4,38864.6
Latvia,y,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8000.2,9002.3,9339.9,10267.1,11021.1,11417.3,12181.9,13118.0,14214.0,15561.3,17037.2,19068.0,21544.1,23875.8,23347.2,20351.9,19859.5,20751.2,22487.5,23176.5,23837.2,24975.5,25801.6
Lithuania,y,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9978.1,10573.0,11536.2,12489.1,12434.5,12985.0,13946.7,15008.3,16729.5,18029.8,19743.0,21547.9,24227.4,25117.8,21629.5,22452.6,24352.3,25629.8,26809.7,27997.6,28834.5,29938.8
Luxembourg,y,43645,43285.7,43751.5,45046.9,47794.7,49048.6,53696.6,55456.8,59635.4,64836.9,67517.4,72368.3,72689.9,74677.6,76417.4,76432.9,76575.9,79690.2,83940.5,89509.6,94485.1,96312.8,98353.5,99677.4,102479.4,103402.8,107949.5,114804.6,112465.4,106858.4,108840.7,107460.5,106751.9,107345.6,107596.4,107898.3,110414.3
Mexico,y,13921.3,14795.5,14357,13432.9,13613.9,13695.5,12911.8,12887.8,12788.8,13065.7,13463.8,13784.4,14046.5,14312.6,14785.1,13644.5,14358.0,15131.5,15706.0,15940.9,16531.4,16266.9,16056.7,16086.4,16522.7,16714.1,17262.3,17436.1,17396.4,16251.3,16867.5,17274.8,17694.4,17730.7,18035.2,18430.2,19007.3
