Country,variable_name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,health_expend,592.4,668.2,705.5,757.4,803.8,855.5,904.5,952.6,1027.9,1097.4,1166.3,1234.4,1305.5,1373.2,1454.6,1537.5,1643,1727.8,1839.2,1956.9,2153.3,2290.7,2481,2578.7,2818.1,2872.4,2996.4,3199.8,3350.1,3417.8,3593.4,3809.1,3854.2,4087.8,4562.7,4777.4,5037.3
Austria,health_expend,710.9,659.7,704.1,736.4,770.3,828.9,889.3,982.7,1051.1,1162.8,1482.3,1585.8,1706.9,1849.9,2017.3,2086.1,2160.5,2265.2,2428.2,2569.3,2803.9,2859.1,3101,3198,3411,3475.9,3635,3795.6,4009.3,4090.2,4259,4345.2,4588.3,4767.1,4858.3,4943.5,5195.5
Belgium,health_expend,592.4,668.9,741.7,786.2,813.5,865.9,944.8,1009.7,1111.8,1203.7,1301.9,1421,1525.7,1583.7,1621.7,1670.7,1768.1,1814.9,1881.7,2011.7,2298.2,2404.2,2644.1,2902.8,3086.2,3104.2,3195.4,3307.6,3545.1,3711.3,3908.5,4053.9,4233.1,4430.7,4580.1,4807.4,4999.0
Canada,health_expend,791.8,898.8,996.1,1066.7,1135,1212.9,1278.8,1357.5,1461.3,1579.5,1699.8,1805.2,1897.5,1930.9,1962.2,1984.9,1999.8,2092,2200.5,2278.3,2450.6,2624.3,2758.1,2914.2,3122.4,3291.9,3486.6,3709.6,3849.5,3945.9,4155.5,4229.0,4336.2,4428.8,4536.8,4635.3,5044.3
Chile,health_expend,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,589.9,619.9,651.6,706.5,766.3,810.7,959.5,1060.7,1129.4,1310.6,1254.3,1355.5,1485.3,1658.1,1755.0,1833.6,1941.3
Colombia,health_expend,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,791.7,838.3,925.4,987.3,1035.0,1101.6
Costa Rica,health_expend,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1176.2,1218.4,1238.1,1312.4,1382.6,1413.3
Czech Republic,health_expend,..,..,..,..,..,..,..,..,..,..,490.9,438.4,462.6,658.3,725.1,808.2,858.8,869.4,888.9,951.9,1026,1160.2,1267.7,1393.8,1464.1,1523.4,1560.2,1660.5,1822.9,2048.8,2002,2041.9,2090.5,2448.5,2564.6,2544.9,2671.0
Denmark,health_expend,797.1,871.6,956.1,1003.4,1025.3,1106.7,1167.6,1251.1,1313.4,1359.3,1441.5,1484,1554.4,1646.9,1708.5,1715,1814,1891.7,1914.2,2181.7,2345.7,2472.3,2711.7,2723.1,2920.6,3015,3289.2,3563.1,3777.7,4016.2,4272.4,4274.1,4433.4,4525.7,4597.5,4726.8,4900.9
Estonia,health_expend,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,510.2,543,545.2,624.7,700.3,814.1,888.9,946.2,1137.9,1291.7,1307.6,1363.5,1403.7,1515.1,1636.1,1821.2,1940.4,2096.5
Finland,health_expend,492.8,554.4,608.7,659.1,715.3,805.6,863.6,946.6,1028.5,1134.3,1261.6,1350.3,1334.3,1226.3,1218.2,1346.2,1418.2,1475.3,1524,1609.6,1876.8,1982.3,2201.2,2277.1,2478.7,2573.5,2752.7,3004.9,3243.8,3281.5,3427.3,3598.3,3786.2,3933.2,3955.8,3992.5,4103.6
France,health_expend,659.8,..,..,..,..,1001.1,..,..,..,..,1459.1,1558,1651.1,1753.5,1817,2100.9,2169.5,2236.6,2321.9,2431.3,2687.5,2875.3,3152,3056.3,3170.9,3264.6,3444.9,3588.2,3729.4,3880.8,4045.1,4161.7,4299.4,4545.0,4626.7,4667.2,4928.1
Germany,health_expend,908.2,1014.7,1044.5,1104.6,1196.6,1298.6,1386.5,1480.1,1616.3,1596.2,1724.3,..,2019.3,2040.3,2188.7,2349.1,2480.2,2496.2,2566,2697.9,2895.5,3009.4,3239.8,3329.4,3391.5,3430,3567.1,3750.8,3955.1,4158.3,4423.1,4566.7,4745.5,4951.7,5151.7,5296.0,5669.1
Greece,health_expend,..,..,..,..,..,..,..,..,617.2,736.2,773.7,796.1,887.7,1001.5,1140.6,1191.4,1234,1289.1,1328.6,1390.3,1418.4,1700.9,1951.1,2048.7,2100.8,2193.6,2303.1,2425.5,2665.5,2735.6,2606.6,2289.6,2145.5,2087.9,2011.1,2122.9,2258.3
Hungary,health_expend,..,..,..,..,..,..,..,..,..,..,..,589.8,627.2,647.8,727.7,685.4,692.8,698.3,768.8,823.2,906.9,996,1167.2,1364.9,1381.5,1463.5,1511.4,1430,1492.6,1492.6,1666.2,1755.5,1766.5,1821.6,1863.8,1891.2,1999.7
Iceland,health_expend,721.8,822.5,925.3,984.3,962.9,1046.3,1248.2,1472,1597.4,1557.3,1575.2,1662.6,1665.7,1697.8,1751.6,1810.7,1886.5,2019.1,2334.4,2575.6,2658.9,2751.1,3057.1,3106.9,3262.5,3280.8,3394,3559.8,3612.5,3480.9,3264.3,3312.5,3399.0,3498.1,3599.6,3733.4,3932.1
Ireland,health_expend,475.5,491.6,516.6,542.6,566.5,606.6,620.3,639.5,663.9,701,752,839.7,919.4,992.8,1040.8,1130.5,1185.7,1288.5,1395.6,1498.3,1829.8,2134.4,2418.9,2578.8,2804.8,3093.4,3204.8,3384.2,3643.3,3855.1,4051,4197.6,4358.9,4299.9,4196.7,4295.5,4536.7
Israel,health_expend,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1162.4,1254.5,1342.1,1383.1,1369.4,1550.1,1653.1,1691.5,1634.4,1708.1,1756.3,1744.4,1853.6,1844.7,1909.4,1970.9,2081.8,2223.3,2238.5,2237.6,2310.0,2524.1
Italy,health_expend,..,..,..,..,..,..,..,..,1052.8,1122.5,1274,1387.5,1403.6,1398.3,1413,1464.8,1528.9,1651.8,1736.6,1802,2030.5,2151.7,2292.7,2289.3,2451,2504.1,2662.5,2695.6,2932.5,2937.5,3104.5,3098.3,3071.6,3042.9,3036.9,3088.9,3274.0
Japan,health_expend,535,604,664.8,714.9,746,818.4,859.9,916.7,969.3,1021.2,1089,1166.4,1253.4,1332.2,1420.3,1413.4,1436.4,1529.6,1571.1,1667.9,1847.8,1945.6,2065.1,2194.4,2303.7,2471.2,2561.2,2689.9,2799.2,2971.4,3169.2,3740.8,3970.8,4308.3,4328.4,4515.6,4295.9
