,code,t,alcohol,y,health_expend,inflation,life_expectancy,mental
0,Australia,1980,12.7,25587.8,592.4,10.1358411703239,..,63.1
1,Australia,1981,12.8,26233.2,668.2,9.48766603415561,74.8,67.7
2,Australia,1982,12.4,25208.9,705.5,11.3518197573657,74.6,66.3
3,Australia,1983,12.2,26007.9,757.4,10.0389105058366,75.4,79
4,Australia,1984,11.7,27054,803.8,3.96039603960396,75.7,87.7
5,Australia,1985,11.8,27754.8,855.5,6.734693877551,75.5,105.2
6,Australia,1986,11.3,28056.3,904.5,9.05035054174633,76,88.7
7,Australia,1987,11.4,29223.7,952.6,8.53302162478084,76.2,95.1
8,Australia,1988,11.3,29863.6,1027.9,7.21593968766829,76.2,110.6
9,Australia,1989,11,30412.5,1097.4,7.53390256152687,76.4,103.1
10,Australia,1990,10.6,29850.9,1166.3,7.33302195235871,76.9,100.6
11,Australia,1991,10.1,29599.2,1234.4,3.17667536988684,77.3,82
12,Australia,1992,9.9,30454.3,1305.5,1.01223112610715,77.4,98.8
13,Australia,1993,10.2,31386.2,1373.2,1.7536534446764,77.9,88.3
14,Australia,1994,10,32293.6,1454.6,1.96963479688141,77.9,115.8
15,Australia,1995,9.8,33167.7,1537.5,4.62776659959759,77.8,131.6
16,Australia,1996,10.0,34049.6,1643,2.61538461538462,78.1,128.1
17,Australia,1997,10.2,35237.2,1727.8,0.224887556221881,78.4,171.5
18,Australia,1998,10.0,36616.8,1839.2,0.860134629768143,78.6,161.6
19,Australia,1999,10.0,37631.3,1956.9,1.48312940304042,78.9,118.7
20,Australia,2000,10.2,37962.6,2153.3,4.45743514797223,79.2,137.9
21,Australia,2001,10.0,38975.0,2290.7,4.40713536201469,79.6,59.4
22,Australia,2002,10.4,39733.2,2481,2.98157453936348,79.9,54.9
23,Australia,2003,10.3,40935.1,2578.7,2.73259596616785,80.2,49.4
24,Australia,2004,10.5,41777.0,2818.1,2.34325522482586,80.5,38.2
25,Australia,2005,10.5,42402.6,2872.4,2.69183168316831,80.8,..
26,Australia,2006,10.8,43414.6,2996.4,3.55528773727027,81.0,37.7
27,Australia,2007,10.8,44150.7,3199.8,2.32761128891474,81.3,41.7
28,Australia,2008,10.8,44084.2,3350.1,4.35029854990048,81.4,42
29,Australia,2009,10.7,44137.8,3417.8,1.77111716621253,81.5,42.8
30,Australia,2010,10.4,44495.6,3593.4,2.91834002677377,81.7,48.1
31,Australia,2011,10.2,45594.1,3809.1,3.3038501560874,81.9,47.4
32,Australia,2012,10.0,45960.3,3854.2,1.76278015613196,82.0,46.6
33,Australia,2013,9.9,46341.2,4087.8,2.44988864142539,82.1,29.2
34,Australia,2014,9.7,46637.9,4562.7,2.487922705314,82.3,30.5
35,Australia,2015,9.8,47226.8,4777.4,1.5083667216592,82.4,35.4
36,Australia,2016,9.5,47556.0,5037.3,1.27699094497329,82.4,34.4
37,Austria,1980,13.6,28794.9,710.9,6.32831779605569,72.7,66.1
38,Austria,1981,13.4,28680.1,659.7,6.80304335998305,73,58.2
39,Austria,1982,13.5,29236,704.1,5.43602589121125,73.2,64.4
40,Austria,1983,14,30153.9,736.4,3.33916684239884,73.3,71.3
41,Austria,1984,13.8,30171.2,770.3,5.66318948991475,73.9,64.8
42,Austria,1985,13.3,30910.6,828.9,3.18951141586567,74.1,79.7
43,Austria,1986,13.6,31601.9,889.3,1.70544550107634,74.5,71.9
44,Austria,1987,13.6,32010.5,982.7,1.4019548916528,75,63.7
45,Austria,1988,13.7,33018.8,1051.1,1.91572021084487,75.5,69.1
46,Austria,1989,13.9,34148.1,1162.8,2.56834671476642,75.6,81
47,Austria,1990,14,35361.5,1482.3,3.26187148033762,75.8,84.4
48,Austria,1991,14,36215.1,1585.8,3.3374261001366,75.9,106.7
49,Austria,1992,13.6,36568.6,1706.9,4.02084684152512,76.1,136.1
50,Austria,1993,13.5,36459.4,1849.9,3.63178554402613,76.3,85.2
51,Austria,1994,12.5,37191.8,2017.3,2.95340652383276,76.7,77.3
52,Austria,1995,13.4,38125.6,2086.1,2.2433637541205,76.9,104.1
53,Austria,1996,13.5,38968.7,2160.5,1.86097410872888,77.1,113
54,Austria,1997,12.9,39739.5,2265.2,1.3059833037407,77.5,97
55,Austria,1998,12.9,41117.6,2428.2,0.922466865804051,77.9,99.2
56,Austria,1999,12.8,42497.2,2569.3,0.568986519284555,78.1,87.4
57,Austria,2000,13.2,43826.2,2803.9,2.34486839687016,78.3,106.5
58,Austria,2001,12.3,44212.0,2859.1,2.64999999999997,78.8,121.4
59,Austria,2002,12.1,44720.7,3101,1.81035882448452,78.9,108.2
60,Austria,2003,12.3,44940.9,3198,1.35555378358982,78.8,175.3
61,Austria,2004,12.1,45880.7,3411,2.06120682873104,79.3,177.2
62,Austria,2005,12.2,46591.9,3475.9,2.29913772525068,79.5,182.3
63,Austria,2006,12.5,47952.4,3635,1.44154653778849,80.1,176.4
64,Austria,2007,12.5,49576.5,3795.6,2.16855593888618,80.3,167.8
65,Austria,2008,12.0,50141.2,4009.3,3.21595111754302,80.6,190
66,Austria,2009,11.8,48138.2,4090.2,0.506309393986597,80.5,189.3
67,Austria,2010,12.1,48907.7,4259,1.81353173680539,80.7,167.4
68,Austria,2011,11.9,50172.4,4345.2,3.28658305428623,81.1,178.7
69,Austria,2012,12.1,50287.3,4588.3,2.48567508675653,81.1,160.5
70,Austria,2013,11.9,49998.0,4767.1,2.00015749271597,81.3,155.0
